song,artist
I've Got Friends,Manchester Orchestra
Hard To See,Five Finger Death Punch
Falling Down,Oasis
Scream,Avenged Sevenfold
All Nightmare Long,Metallica
Seasons,The Veer Union
Big Jack,AC/DC
Sink Into Me,Taking Back Sunday
Rescue Me,Buckcherry
Crawl Back In,Dead By Sunrise
A Looking In View,Alice In Chains
Thinking of You,Katy Perry
Savior,Rise Against
Far From Over,Rev Theory
Drowning (Face Down),Saving Abel
"Broken, Beat & Scarred",Metallica
Get on Your Boots,U2
Stranger Than Fiction,Five Finger Death Punch
By The Way,Theory Of A Deadman
It's Alright,311
Help I'm Alive,Metric
Fly on the Wall,Miley Cyrus
Talk To Me,Buckcherry
Never Say Never,The Fray
You Better Pray,The Red Jumpsuit Apparatus
Sometime Around Midnight,The Airborne Toxic Event
Contagious,Trapt
18 Days,Saving Abel
Sulfer,Slipknot
Zero,Yeah Yeah Yeahs
If U Seek Amy,Britney Spears
She's A Genius,Jet
Better,Guns N' Roses
Citizen/Soldier,3 Doors Down
Alive,The Black Eyed Peas
Audience of One,Rise Against
Work,The Saturdays
Storm To Pass,Atreyu
Permanent,David Cook
All I Want,Staind
Revelry,Kings of Leon
I Almost Told You That I Loved You,Papa Roach
Not Meant to Be,Theory of a Deadman
Desolation Row,My Chemical Romance
Ignorance,Paramore
The Sex Is Good,Saving Abel
Another Way to Die,Disturbed
Waiting for the End,Linkin Park
Lay Me Down,The Dirty Heads
Kings And Queens,Thirty Seconds To Mars
Tighten Up,The Black Keys
Porn Star Dancing,My Darkest Days
The Catalyst,Linkin Park
Say You'll Haunt Me,Stone Sour
Back Against The Wall,Cage The Elephant
Radioactive,Kings of Leon
Cryin' Like A Bitch!,Godsmack
Your Decision,Alice in Chains
Snuff,Slipknot
Animal,Neon Trees
Bad Company,Five Finger Death Punch
Love-Hate-Sex-Pain,Godsmack
Mountain Man,Crash Kings
Kick In The Teeth,Papa Roach
The Animal,Disturbed
In One Ear, Cage the Elephant
World So Cold,Three Days Grace
My Best Theory,Jimmy Eat World
The Good Life,Three Days Grace
Scream With Me,Mudvayne
Nightmare,Avenged Sevenfold
Rock That Body,The Black Eyed Peas
This Is War,30 Seconds to Mars
Letter From A Thief,Chevelle
Heaven nor Hell,Volbeat
Lisztomania,Phoenix
Fallen,Volbeat
Monster,Skillet
Let Me Hear You Scream,Ozzy Osbourne
Undisclosed Desires,Muse
Between the Lines,Stone Temple Pilots
Feel Like I Do,Drowning Pool
Sick Of You,Cake
Lesson Learned,Alice In Chains
This Afternoon,Nickelback
Little Lion Man,Mumford & Sons
End Of Me,Apocalyptica Feat. Gavin Rossdale
The Crow & the Butterfly,Shinedown
Impossible,Anberlin
Set the Fire to the Third Bar,Snow Patrol & Martha Wainwright
Your Betrayal,Bullet For My Valentine
Again,Flyleaf
All or Nothing, Theory of a Deadman
The Royal We,Silversun Pickups
Hell Of A Time,HellYeah
Maybe,Sick Puppies
She's So Lovely,Scouting for Girls
Crash,Cavo
This Is the Life,Amy Macdonald
Odd One,Sick Puppies
I Kissed a Girl,Katy Perry
Shoot It Out,10 Years
Just Breathe,Pearl Jam
Don't Look Back into the Sun,The Libertines
Give Me A Sign (Forever And Ever),Breaking Benjamin
A-Punk,Vampire Weekend
Crossfire,Brandon Flowers
Heartbeat,Scouting for Girls
Spaceship,Puddle Of Mudd
Stoned,Puddle Of Mudd
Can't Stand Me Now,The Libertines
Walk Away,Five Finger Death Punch
The Sound (John M. Perkins' Blues),Switchfoot
Closer,Kings of Leon
Letters From The Sky,Civil Twilight
Unraveling,Sevendust
Turn So Cold,Drowning Pool
It's Not You,Halestorm
Brick By Boring Brick,Paramore
Lights Out,Breaking Benjamin
The High Road,Broken Bells
Diamond Eyes,Deftones
Living In A Dream,Finger Eleven
New Fang,Them Crooked Vultures
Oildale (Leave Me Alone),Korn
Black Rain,Soundgarden
Na Na Na (Na Na Na Na Na Na Na Na Na),My Chemical Romance
Shakin' Hands,Nickelback
Life Won't Wait,Ozzy Osbourne
Mess Of Me,Switchfoot
Born Free,Kid Rock
Neutron Star Collision (Love Is Forever),Muse
Hero,Skillet
 You And Your Heart,Jack Johnson
Little Smirk,Theory Of A Deadman
Gold Guns Girls,Metric
Sound Off,Trapt
I Was A Teenage Anarchist,Against Me!
Ready To Start,Arcade Fire
Rope,Foo Fighters
Face To The Floor,Chevelle
Lonely Boy,The Black Keys
Country Song,Seether
Walk,Foo Fighters
Not Again,Staind
Isolation,Alter Bridge
Shake Me Down,Cage The Elephant
The Sound Of Winter,Bush
Pumped Up Kicks,Foster The People
Waiting For The End,Linkin Park
The Adventures Of Rain Dance Maggie,Red Hot Chili Peppers
Diamond Eyes (Boom-Lay Boom-Lay Boom),Shinedown
So Far Away,Avenged Sevenfold
Lowlife,Theory Of A Deadman
Lies Of The Beautiful People,Sixx: A.M.
Tonight,Seether
Paradise,Coldplay
You Are A Tourist,Death Cab For Cutie
Help Is On The Way,Rise Against
Buried Alive,Avenged Sevenfold
Bottoms Up,Nickelback
The Animal ,Disturbed
Welcome To The Family,Avenged Sevenfold
Awake And Alive,Skillet
Sick,Adelitas Way
Up All Night,Blink-182
Cough Syrup,Young The Giant
Adolescents,Incubus
Howlin' For You,The Black Keys
Riptide,Sick Puppies
Burn,Papa Roach
The Cave,Mumford & Sons
Far From Home,Five Finger Death Punch
Ghost Of Days Gone By,Alter Bridge
Sing,My Chemical Romance
Warrior,Disturbed
Panic,Sublime with Rome
Every Teardrop Is A Waterfall,Coldplay
Sail,AWOLNATION
Dark Horses,Switchfoot
My Body,Young The Giant
Blow Me Away,Breaking Benjamin featuring Valora
Changing,The Airborne Toxic Event
Die Trying,Art Of Dying
Monster You Made,Pop Evil
New Low,Middle Class Rut
Make It Stop (September's Children),Rise Against
All American Nightmare,Hinder
Hesitate,Stone Sour
Under And Over It,Five Finger Death Punch
Last Man Standing,Pop Evil
Whirring,The Joy Formidable
Closer To The Edge,Thirty Seconds To Mars
Lost In You,Three Days Grace
Sunset In July,311
Make Some Noise,Beastie Boys
Dog Days Are Over,Florence + The Machine
What You Want,Evanescence
This Is Gonna Hurt,Sixx: A.M.
Young Blood,The Naked And Famous
Helena Beat,Foster The People
Hear Me Now,Hollywood Undead
Irresistible Force,Jane's Addiction
When You're Young,3 Doors Down
Hold On,All That Remains
Roll Away Your Stone,Mumford & Sons
Machine Gun Blues,Social Distortion
Get Up!,Korn featuring Skrillex
Fix Me,10 Years
White Trash Millionaire,Black Stone Cherry
It's Not Me It's You,Skillet
All I Want,A Day To Remember
Under Cover Of Darkness,The Strokes
No Matter What,Papa Roach
The Last Time ,All That Remains
"Promises, Promises",Incubus
1983,Neon Trees
Bitch Came Back,Theory Of A Deadman
Miss America,Saving Abel
Long Time,Cake
Hell,Disturbed
Colours,Grouplove
Around My Head,Cage The Elephant
Every Time You Go,3 Doors Down
People Say,Portugal. The Man
Digital (Did You Tell),Stone Sour
Pyro,Kings Of Leon
Killing Me Inside,Crossfade
You've Seen The Butcher,Deftones
Justice,Rev Theory
Old Man,Redlight King
Dead,Buckcherry
Bulletproof Heart,My Chemical Romance
Iridescent,Linkin Park
This Is Why We Fight,The Decemberists
What Ya Gonna Do,Hinder
Junk Of The Heart (Happy),The Kooks
Somebody That I Used To Know,Gotye featuring Kimbra
Madness,Muse
Chalk Outline,Three Days Grace
Bully,Shinedown
Been Away Too Long,Soundgarden
Live To Rise,Soundgarden
Gold On The Ceiling, The Black Keys
Too Close,Alex Clare
Unity,Shinedown
Some Nights,fun.
Ho Hey,The Lumineers
Little Talks,Of Monsters And Men
Coming Down,Five Finger Death Punch
We Are Young,fun. Feat Janelle Monaé
Still Counting,Volbeat
You're A Lie,Slash featuring Myles Kennedy & The Conspirators
Tongue Tied,Grouplove
I Will Wait,Mumford & Sons
Criticize,Adelitas Way
BURN IT DOWN,Linkin Park
I Miss The Misery,Halestorm
Remember Everything,Five Finger Death Punch
Enemies,Shinedown
These Days,Foo Fighters
Absolute Zero,Stone Sour
No Resolution,Seether
Hats Off To The Bull,Chevelle
A Warrior's Call,Volbeat
Love Bites (So Do I),Halestorm
Days Go By,The Offspring
The Collapse,Adelitas Way
Still Swingin',Papa Roach
Oh Love,Green Day
Bullet In My Hand,Redlight King
Lost In Forever (Scream),P.O.D.
Not Your Fault,AWOLNATION
It's Time,Imagine Dragons
Standing In The Sun,Slash featuring Myles Kennedy & The Conspirators
Monarchy Of Roses,Red Hot Chili Peppers
Take A Walk,Passion Pit
Midnight City,M83
Don't Stop (Color On The Walls),Foster The People
Eyes Wide Open,Staind
Hurricane,Theory Of A Deadman
Here And Now,Seether
I Like It,Foxy Shazam
We Come Running,Youngblood Hawke
Narcissistic Cannibal,Korn featuring Skrillex & Kill The Noise
This Means War,Nickelback
Kill Your Heroes,AWOLNATION
Everybody Talks,Neon Trees
The Waiting One,All That Remains
Aberdeen,Cage The Elephant
Satellite,Rise Against
Lost In The Echo,Linkin Park
After Midnight,Blink-182
Bloody Mary (Nerve Endings),Silversun Pickups
Runaways,The Killers
Look Around,Red Hot Chili Peppers
Rocky Mountain Way,Godsmack
Blood,In This Moment
Boss' Daughter,Pop Evil
Anna Sun,Walk The Moon
In My Blood,Black Stone Cherry
Itchin' On A Photograph,Grouplove
Wait For Me,Rise Against
Simple Song,The Shins
Now,Staind
Shake It Out,Florence + The Machine
45,The Gaslight Anthem
Let Yourself Go,Green Day
Sixteen Saltines,Jack White
Spread Too Thin,The Dirty Heads
Bringing Down The Giant,Saving Abel
Love Interruption,Jack White
Tattoo,Van Halen
Bridge Burning,Foo Fighters
Curl Of The Burl,Mastodon
Youth Without Youth,Metric
Charlie Brown,Coldplay
Satisfied,Aranda
Jump Into The Fog,The Wombats
Let's Ride,Kid Rock
Baby Come Home,Bush
Headlights,Morning Parade
"No Light, No Light",Florence + The Machine
Legendary Child,Aerosmith
Figure It Out,Serj Tankian
Blood For Poppies,Garbage
Get Thru This,Art Of Dying
Punching In A Dream,The Naked And Famous
Purple,Pop Evil
Backlash,10 Years
Comeback,Redlight King
Race You To The Bottom,New Medicine
Sleep Alone,Two Door Cinema Club
Afterlife,Switchfoot
Settle Down,No Doubt
Soldiers,Otherwise
America,Deuce
Radioactive,Imagine Dragons
Sweater Weather,The Neighbourhood
Hail To The King,Avenged Sevenfold
Come A Little Closer,Cage The Elephant
Royals,Lorde
Battle Born,Five Finger Death Punch
Hollow,Alice In Chains
Pompeii,Bastille
Trenches,Pop Evil
The Hangman's Body Count,Volbeat
Stone,Alice In Chains
Out Of My League,Fitz & The Tantrums
Stand Up (Stand Up),All That Remains
Freak Like Me,Halestorm
Never Never,Korn
Vilify,Device
By Crooked Steps,Soundgarden
Safe And Sound,Capital Cities
Bones,Young Guns
Misery Loves My Company,Three Days Grace
Heaven Nor Hell,Volbeat
The High Road,Three Days Grace
Deal With The Devil,Pop Evil
Lola Montez, Volbeat
Out Of Time,Stone Temple Pilots with Chester Bennington
Demons,Imagine Dragons
Mountain Sound,Of Monsters And Men
Mind Your Manners,Pearl Jam
Little Black Submarines,The Black Keys
Stubborn Love,The Lumineers
Ways To Go,Grouplove
I'll Follow You,Shinedown
Lift Me Up,Five Finger Death Punch featuring Rob Halford of Judas Priest
Panic Station,Muse
Where Did The Angels Go,Papa Roach
Carry On,Avenged Sevenfold
From Can To Can't,Dave Grohl
There's No Going Back,Sick Puppies
Tempest,Deftones
The Pit,Silversun Pickups
Voices,Alice In Chains
Up In The Air,Thirty Seconds To Mars
Trojans,Atlas Genius
Harlem,New Politics
Leader Of The Broken Hearts,Papa Roach
Do Me A Favor,Stone Sour
Sirens,Pearl Jam
Lover Of The Light,Mumford & Sons
Beautiful,P.O.D.
Get Lucky,Daft Punk featuring Pharrell Williams
Howl,Beware Of Darkness
Swerve City,Deftones
Anastasia,Slash featuring Myles Kennedy & The Conspirators
Came Back Haunted,Nine Inch Nails
My Songs Know What You Did In The Dark (Light Em Up),Fall Out Boy
Miss Jackson,Panic! At The Disco feat. Lolo
Same Old Trip,Chevelle
Carry On,fun.
A Light That Never Closes,Linkin Park x Steve Aoki
God Is Dead?,Black Sabbath
Hurricane,MS MR
If So,Atlas Genius
Elephant,Tame Impala
By And Down,A Perfect Circle
City Of Angels,Thirty Seconds To Mars
One Light,3 Doors Down
We're An American Band,Rob Zombie
Alive,Adelitas Way
Good Man,Devour The Day
Born To Rise,Redlight King
Breezeblocks,alt-J 
Sick Of It,Skillet
Supersoaker,Kings Of Leon
Holding On To You,twenty one pilots
Decay,Sevendust
Trying To Be Cool,Phoenix
"Fire, Fire",Heavens Basement
Breathing Underwater,Metric
Diane Young,Vampire Weekend
Entertainment,Phoenix
Higher,P.O.D.
Wake Me Up!,Avicii
The Pride,Five Finger Death Punch
Seether,Seether
 San Francisco,The Mowgli's
Black Heart,Stone Temple Pilots with Chester Bennington
Hero,Family Of The Year
Halfway There,Soundgarden
Now,Paramore
Asking Too Much,All That Remains
Thrift Shop,Macklemore & Ryan Lewis featuring Wanz
One More Lie,Aranda
Tightrope,Walk The Moon
Purple Yellow Red And Blue,Portugal. The Man
 Dead City Radio And The New Gods Of Supertown,Rob Zombie
I Don't Apologize (1000 Pictures),Otherwise
What Do You Say,Filter
Castle Of Glass,Linkin Park
Who We Are,Switchfoot
Recovery,Frank Turner
Something From Nothing,Foo Fighters
Fever,The Black Keys
Do I Wanna Know?,Arctic Monkeys
Stolen Dance,Milky Chance
Shepherd Of Fire,Avenged Sevenfold
Riptide,Vance Joy
Come With Me Now, KONGOS
Heaven Knows,The Pretty Reckless
Words As Weapons,Seether
Painkiller,Three Days Grace
Messed Up World (F'd Up World),The Pretty Reckless
Take Out The Gunman,Chevelle
1000HP,Godsmack
Guilty All The Same,Linkin Park featuring Rakim
Torn To Pieces,Pop Evil
Edge Of A Revolution,Nickelback
Tired,Stone Sour
The Walker,Fitz & The Tantrums
I Wanna Get Better,Bleachers
World On Fire,Slash featuring Myles Kennedy & The Conspirators
Until it's Gone,Linkin Park
Wrong Side Of Heaven,Five Finger Death Punch
Team,Lorde
Take Me To Church,Hozier
Bad Blood,Bastille
This Is The Time (Ballast),Nothing More
What If I Was Nothing,All That Remains
Out Of The Black,Royal Blood
It's About Time,Young The Giant
Left Hand Free,alt-J
The Devil In I,Slipknot
Figure It Out,Royal Blood
Dead But Rising,Volbeat
 My Sweet Summer,The Dirty Heads
Fall In Love,Phantogram
Afraid,The Neighbourhood
Addicted To Pain,Alter Bridge
Adrenaline,Shinedown
Room To Breathe,You Me At Six
This Means War,Avenged Sevenfold
Centuries,Fall Out Boy
Drown,Theory Of A Deadman
Coming Of Age,Foster The People
My Demons,Starset
Why'd You Only Call Me When You're High?,Arctic Monkeys
Flaws,Bastille
Weak,Seether
A Sky Full Of Stars,Coldplay
Hater,Korn
Spike In My Veins,Korn
I Don't Want To Be Here Anymore,Rise Against
Back To The Shack,Weezer
Play Ball,AC/DC
Something Different,Godsmack
Lightning Bolt,Pearl Jam
Unbelievers,Vampire Weekend
Beautiful,Pop Evil
Dog On A Leash,Adelitas Way
Giants,Bear Hands
Moth,HellYeah
Not Gonna Die,Skillet
Lazaretto,Jack White
Doc Holliday,Volbeat
House Of Gold,twenty one pilots
Yellow Flicker Beat,Lorde
Wait For Me,Kings Of Leon
Times Are Hard,Redlight King
Hunter Eats Hunter,Chevelle
Beggin For Thread,Banks
Romantic Dreams,Deftones
One For The Money,Escape The Fate
Magic,Coldplay
I'm Only Joking,KONGOS
Whore,In This Moment
Take The Bullets Away, We As Human featuring Lacey Strum
The Mother We Share,CHVRCHES
Take It Or Leave It,Cage The Elephant
House Of The Rising Sun,Five Finger Death Punch
Sleeping With A Friend,Neon Trees
The Only Way Out,Bush
Gotta Get It Right,Sixx: A.M.
Heavy Bells,J. Roddy Walston & The Business
Gotta Get Away,The Black Keys
Fools Gold,Fitz & The Tantrums
Cardiac Arrest,Bad Suns
Sleepwalking,Bring Me The Horizon
Trainwreck 1979,Death From Above 1979
Dangerous,Big Data (feat. Joywave)
Always,Killswitch Engage
I Sat By The Ocean,Queens Of The Stone Age
Mz. Hyde,Halestorm
Mind Over Matter,Young The Giant
Weekend,Priory
Gunfight,Sick Puppies
Rebellion,Linkin Park featuring Daron Malakian
Best Friend,Foster The People
Cannibal,Silversun Pickups
Me And Mary Jane,Black Stone Cherry
Tonight You're Perfect,New Politics
Take It As It Comes,J. Roddy Walston & The Business
Stressed Out,twenty one pilots
Renegades,X Ambassadors
Failure,Breaking Benjamin
First,Cold War Kids
Cut The Cord,Shinedown
I Am Machine,Three Days Grace
The Light,Disturbed
Dead Inside,Muse
Shut Up + Dance,Walk The Moon
Cigarette Dream,Cage The Elephant
Footsteps,Pop Evil
Angels Fall,Breaking Benjamin
Ex's & Oh's,Elle King
Lampshade On Fire,Modest Mouse
Congregation,Foo Fighters
Throne,Bring Me The Horizon
Heavy Is The Head,Zac Brown Band featuring Chris Cornell
Hollow Moon (Bad Wolf),AWOLNATION
Believe,Mumford & Sons
Follow Me Down,The Pretty Reckless
The Otherside,Red Sun Rising
Little Monster,Royal Blood
Face Everything And Rise,Papa Roach
The Vengeful One,Disturbed
Apocalyptic,Halestorm
Coming For You,The Offspring
Tear In My Heart,twenty one pilots
Angel,Theory Of A Deadman
R U Mine?,Arctic Monkeys
Same Damn Life,Seether
Black Sun,Death Cab For Cutie
Nearly Forgot My Broken Heart,Chris Cornell
Amen,Halestorm
The Ghosts Of Beverly Drive,Death Cab For Cutie
I Bet My Life,Imagine Dragons
Jekyll And Hide,Five Finger Death Punch
Human Race,Three Days Grace
Rollercoaster,Bleachers
Bent To Fly,Slash featuring Myles Kennedy & The Conspirators
S.O.B.,Nathaniel Rateliff & The Night Sweats
I Am The Fire,Halestorm
Cirice,Ghost
Lydia,Highly Suspect
Dreams, Beck
The Wolf,Mumford & Sons
I Am,AWOLNATION
Crystals,Of Monsters And Men
Cecilia & The Satellite,Andrew McMahon In The Wilderness
2 Heads,Coleman Hell
Gravity,Papa Roach
Long Way Down,Robert DeLong
Could Have Been Me,The Struts
Mess Is Mine,Vance Joy
Budapest,George Ezra
Moving On,Asking Alexandria
Stars,Sixx: A.M.
Jenny,Nothing More
Nobody Praying For Me,Seether
Take It Back,The Temperance Movement
Different Colors,Walk The Moon
Outside,Foo Fighters
Drown,Bring Me The Horizon
Rock Or Bust,AC/DC
Ship To Wreck,Florence + The Machine
Deep Six,Marilyn Manson
Better Place,Saint Asonia
What Kind Of Man,Florence + The Machine
My Type ,Saint Motel
Hold Back The River,James Bay
Mona Lisa Smile,Wolf Alice
Killpop,Slipknot
Molecules,Atlas Genius
Sick Like Me,In This Moment
Mercy,Muse
Hallelujah,Panic! At The Disco
Become The Enemy,Like A Storm
This Probably Won't End Well,All That Remains
Million Miles An Hour,Nickelback
What's Next?,Godsmack
Absolution Calling,Incubus
Mr. MTV,Nothing More
Thank You,Sevendust
Blow,Theory Of A Deadman
Sedona,Houndmouth
Dancing On Nails, We Are Harlot
Don't Wanna Fight,Alabama Shakes
Electric Love,BØRNS
For You,All That Remains
Faith,Devour The Day
Somebody New,Joywave
Halo,Starset
I Want Out,Young Guns
Carnivore,Starset
I Won't Give In,Asking Alexandria
Weight Of Love,The Black Keys
Hush,HellYeah
Shots,Imagine Dragons
Sorry,Meg Myers
First Kiss,Kid Rock
Agora,Bear Hands
Heathens,twenty one pilots
The Devil's Bleeding Crown,Volbeat
My Name Is Human,Highly Suspect
Ride,twenty one pilots
The Sound Of Silence,Disturbed
Bang Bang,Green Day
State Of My Head,Shinedown
Bored To Death,Blink-182
Ophelia,The Lumineers
Waste A Moment,Kings Of Leon
Joyride (Omen),Chevelle
Mess Around,Cage The Elephant
Dark Necessities,Red Hot Chili Peppers
Way Down We Go,Kaleo
Spirits,The Strumbellas
Adventure Of A Lifetime,Coldplay
Trip Switch,Nothing But Thieves
Take Me Down,The Pretty Reckless
Emotionless,Red Sun Rising
Wash It All Away,Five Finger Death Punch
Mountain At My Gates,Foals
All We Ever Knew,The Head And The Heart
Open Your Eyes,Disturbed
Feel Invincible,Skillet
Hardwired,Metallica
Good Grief,Bastille
Trouble,Cage The Elephant
Ways To Get High,Pop Evil
Reapers,Muse
In The Dark,3 Doors Down
Happy Song,Bring Me The Horizon
My Nemesis,Five Finger Death Punch
Asking For It,Shinedown
Seal The Deal,Volbeat
Walking On A Dream,Empire Of The Sun
Saint Cecilia,Foo Fighters
Take It All,Pop Evil
River,Bishop Briggs
Unsteady,X Ambassadors
Fire And The Flood,Vance Joy
Nightlight,Silversun Pickups
Here's To Heartaches,Nothing More
I Apologize,Five Finger Death Punch
Save Today,Seether
The Stage,Avenged Sevenfold
Rotting In Vain,Korn
Prophets Of Rage,Prophets Of Rage
From The Pinnacle To The Pit,Ghost
Rise,Sixx: A.M.
Welcome To Your Life,Grouplove
HandClap,Fitz & The Tantrums
Bloodfeather,Highly Suspect
Moth Into Flame,Metallica
Through It All,From Ashes To New
Genghis Khan,Miike Snow
You Don't Get Me High Anymore,Phantogram
Still Alive,3 Doors Down
Fallen Angel,Three Days Grace
Woman Woman,AWOLNATION
Mayhem,Halestorm
Falling Apart,Papa Roach
Kiss This,The Struts
Paranoia,A Day To Remember
Phantom Bride,Deftones
Prayers/Triangles,Deftones
Roots,Imagine Dragons
No Good,Kaleo
Something To Believe In,Young The Giant
Take It From Me,KONGOS
Until The World Goes Cold,Trivium
I Don't Care Anymore,Hellyeah
Wow,Beck
Switchblade,Holy White Hounds
Sure And Certain,Jimmy Eat World
Let Me Live My Life, Saint Asonia
Black Honey,Thrice
Here I Am,Asking Alexandria
Soundcheck,Catfish And The Bottlemen
Thank God For Girls,Weezer
In Chains,Shaman's Harvest
2:00 AM,Bear Hands
Prayers For The Damned,Sixx: A.M.
Naivety,A Day To Remember
11:11,Dinosaur Pile-Up
Magnets,Disclosure FT. Lorde
Stick To Your Guns,Sick Puppies
Bad Reputation,Adelitas Way
Life Itself,Glass Animals
Move,Saint Motel
In The Age Of The Consecrated Vampire We All Get High,Rob Zombie
Ditmas,Mumford & Sons
High Dive,Andrew McMahon In The Wilderness
Show Me A Leader,Alter Bridge
The Eagle Has Landed,Avatar
That's All I Need,The Dirty Heads
Brazil,Declan McKenna
Circadian Rhythm (Last Dance),Silversun Pickups
Gone,JR JR
Sleeping Dogs,Zakk Wylde featuring Corey Taylor
King Of The World,Weezer
Feel It Still,Portugal. The Man
Believer,Imagine Dragons
Thunder,Imagine Dragons
Something Just Like This,The Chainsmokers featuring Coldplay
Wish I Knew You,The Revivalists
Heavy,Linkin Park featuring Kiiara
Feels Like Summer,Weezer
Human,Rag’n’Bone Man
The Man,The Killers
High,Sir Sly
Whatever It Takes,Imagine Dragons
Broken,lovelytheband
Suit And Jacket,Judah and The Lion
Down,Marian Hill
Angela,The Lumineers
Run,Foo Fighters
Green Light,Lorde
Walk On Water,30 Seconds to Mars
The Night We Met,Lord Huron
The Sky Is A Neighborhood,Foo Fighters
Love Is Mystical,Cold War Kids
No Roots,Alice Merton
Sit Next To Me,Foster the People
Blame,Bastille
Hard Times,Paramore
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors"
Lights Out,Royal Blood
Everything Now,Arcade Fire
Dig Down,Muse
Heavydirtysoul,twenty one pilots
Rx (Medicate),Theory of a Deadman
Take It All Back,Judah & The Lion
Still Breathing,Green Day
Cold Cold Cold,Cage the Elephant
The Violence,Rise Against
HandClap,Fitz And The Tantrums
I Only Lie When I Love You,Royal Blood
The Way You Used To Do,Queens of the Stone Age
Up All Night,Beck
In The End,Linkin Park
One More Light,Linkin Park
Reverend,Kings of Leon
Middle Fingers,Missio
Cleopatra,The Lumineers
Little One,Highly Suspect
Lay It All On Me,Vance Joy
Lust For Life,Lana Del Rey featuring The Weeknd
Don’t Take The Money,Bleachers
Vacation,The Dirty Heads
Help,Papa Roach
Old Church Choir,Zach Williams
One Foot,Walk the Moon
Fire Escape,Andrew McMahon In The Wilderness
Champion,Fall Out Boy
Whole Wide World,Cage the Elephant
Sober Up,AJR
Ahead Of Myself,X Ambassadors
In Cold Blood,alt-J
Don't Take The Money,Bleachers
Highway Tune,Greta Van Fleet
One Of Us,New Politics
Somebody Else,The 1975
Song #3,Stone Sour
Let You Down,Seether
Live In The Moment,Portugal. The Man
Lay It On Me,Vance Joy
On Hold,The xx
Love,Lana Del Rey
Darling,Real Estate
Love On The Weekend,John Mayer
Hymn For The Weekend,Coldplay featuring Beyoncé
Nimble Bastard,Incubus
So Tied Up,Cold War Kids featuring Bishop Briggs
Go Robot,Red Hot Chili Peppers
Chain Breaker,Zach Williams
Big Boys,Chuck Berry
One Night Only,The Struts
Revolution Radio,Green Day
Perfect Places,Lorde
Sweet Disaster,Dreamers
Less Than,Nine Inch Nails
Passion,Awolnation
Hot Thoughts,Spoon
All The Pretty Girls,Kaleo
In The Blood,John Mayer
Run For Cover,The Killers
Alone,I Prevail
Wild Horses,Bishop Briggs
Best Friend,"Sofi Tukker featuring NERVO, The Knocks, & Alisa Ueno"
World Gone Mad,Bastille
Happier,Marshmello & Bastille
Natural,Imagine Dragons
High Hopes,Panic! at the Disco
Sit Next To Me,Foster The People
Say Amen (Saturday Night),Panic! at the Disco
Africa,Weezer
Jumpsuit,twenty one pilots
Zombie,Bad Wolves
Burn The House Down,AJR
Thought Contagion,Muse
One Foot,Walk The Moon
My Blood,twenty one pilots
Guiding Light,Mumford & Sons
&Run,Sir Sly
Bulletproof,Godsmack
Give Yourself A Try,The 1975
Dangerous Night,30 Seconds To Mars
Love It If We Made It,The 1975 
I Feel Like I'm Drowning,Two Feet
Are You Ready,Disturbed
You Worry Me,Nathaniel Rateliff and The Night Sweats
Rats,Ghost
S.O.S. (Sawed Off Shotgun),The Glorious Sons
Devil,Shinedown
Kamikaze,Walk The Moon
All My Friends,The Revivalists
Gold Rush,Death Cab for Cutie
The Mountain,Three Days Grace
Walk On Water,Thirty Seconds To Mars
When The Curtain Falls,Greta Van Fleet
She's Kerosene,The Interrupters
Get Up,Shinedown
I Feel Like I’m Drowning,Two Feet
Saturday Sun,Vance Joy
Ghost,Badflower
Sham Pain,Five Finger Death Punch
Quarter Past Midnight,Bastille
New Light,John Mayer
Miracle,Chvrches
Hunger,Florence + The Machine
Red Cold River,Breaking Benjamin
Get Out,Chvrches
You're the One,Greta Van Fleet
Hear Me Now,Bad Wolves featuring DIAMANTE
Gone Away,Five Finger Death Punch
Good Kisser,Lake Street Dive
Handyman,AWOLnation
When Legends Rise,Godsmack
Body Talks,The Struts
Colors ,Beck
Sober Up,AJR featuring Rivers Cuomo
Nevermind,Dennis Lloyd
Shotgun,George Ezra
House On Fire,Rise Against
Infra-Red,Three Days Grace
Mantra,Bring Me the Horizon
Rx (Medicate),Theory Of A Deadman
Right Left Wrong,Three Days Grace
Nina Cried Power,Hozier featuring Mavis Staples
Nico And The Niners,twenty one pilots
The Gold,Manchester Orchestra
Happy Hour,Weezer
Four Out Of Five,Arctic Monkeys
Blood // Water,grandson
Lash Out,Alice Merton
Something Human,Muse
Dance Macabre,Ghost
Shame,Elle King
Do Your Worst,Rival Sons
When the Seasons Change,Five Finger Death Punch
Pressure,Muse
Humility,Gorillaz featuring George Benson
Heroin,Badflower
Hold Me Tight Or Don't,Fall Out Boy 
Uncomfortable,Halestorm
I Hope You're Happy,Blue October
Worst Nites,Foster the People
Shelter,Broken Bells
You’re Somebody Else,flora cash
Fever Pitch,Rainbow Kitten Surprise
Always Ascending,Franz Ferdinand
Scary Love,The Neighbourhood
Can't Deny Me,Pearl Jam
Bohemian Rhapsody,Queen
Torn in Two,Breaking Benjamin
"Hey Look Ma, I Made It",Panic! At The Disco
you should see me in a crown,Billie Eilish
High Hopes,Panic! At The Disco
